comparison,paired_runs,median_difference_ms,mean_difference_ms,ci95_mean_low_ms,ci95_mean_high_ms,robust_effect,improved_fraction,degraded_fraction,no_material_change_fraction,engineering_threshold_ms
B1-B0,2430,0.38997525,1.6880645685185185,-0.22027687183641972,3.5392595389660486,0.0179307986039528,0.437037037037037,0.4732510288065844,0.0897119341563786,1.0
C1-C0,2430,0.1762325,1.4188502405349794,-0.4104211066306584,3.25843644593107,0.0076201610214179,0.4432098765432098,0.4670781893004115,0.0897119341563786,1.0
C0-B0,2430,0.25678925,1.315339127777778,-0.5675379547016459,3.176929059696501,0.0118997321771802,0.4395061728395061,0.4662551440329218,0.094238683127572,1.0
C1-B1,2430,0.408443,1.0461247997942387,-0.7167498877417695,2.8859454273713983,0.0194670386704221,0.4411522633744856,0.4736625514403292,0.0851851851851851,1.0
