method,median_end_to_end_ns,median_chain_read_ns,median_match_ns,median_issue_ns,median_verify_ns,chain_read,match,issue,verify,other
B0,196128082.0,193767521.0,33991.75,159742.5,1889166.75,98.7964186587008,0.01733140387310778,0.0814480508711649,0.9632311348458504,0.1415707517090823
B1,196583460.0,194040565.75,71518.0,159790.0,1870934.75,98.70645564484418,0.0363804767705279,0.08128354236923085,0.9517254147424205,0.22415492127362313
C0,198682018.5,196027093.0,60369.0,160739.5,1911158.0,98.66373136328892,0.030384732577095296,0.08090289257857525,0.9619179503151665,0.2630630612402456
C1,198938822.75,196361487.75,93108.25,160341.5,1893625.5,98.70445850419108,0.046802453494462534,0.08059839592068763,0.9518632280133968,0.21627741838037196
