method,median_end_to_end_ns,median_end_to_end_ms
B1,310250742.0,310.250742
B1,424919351.5,424.9193515
C0,505790650.5,505.7906505
B0,79155116.0,79.155116
B1,76670577.0,76.670577
C1,85932964.0,85.932964
B0,445658912.5,445.6589125
C1,181580864.5,181.5808645
B1,63129411.5,63.1294115
B0,404428242.0,404.428242
B1,60331375.0,60.331375
C1,220149363.0,220.149363
B0,389812582.5,389.8125825
C0,352252097.5,352.2520975
B1,504062800.5,504.0628005
C1,443842757.5,443.8427575
C0,72539292.5,72.5392925
B1,240344905.0,240.344905
C1,538434113.0,538.434113
B1,229957846.0,229.957846
B0,71185633.0,71.185633
C0,70759597.5,70.7595975
B1,296046893.0,296.046893
B1,286815561.5,286.8155615
C0,473477660.5,473.4776605
B0,282559422.0,282.559422
B0,527565584.5,527.5655845
C0,566916108.5,566.9161085
B1,279785128.5,279.7851285
B0,288453206.5,288.4532065
C0,395134523.5,395.1345235
B0,70722234.0,70.722234
C1,301215297.5,301.2152975
B1,500987791.0,500.987791
B0,84807852.0,84.807852
C0,56903665.0,56.903665
C0,217555354.5,217.5553545
B0,79068697.5,79.0686975
B0,289115975.0,289.115975
C0,75902467.0,75.902467
B0,83527526.0,83.527526
B0,296641976.0,296.641976
B0,82635814.0,82.635814
B1,73406694.0,73.406694
C0,445218665.5,445.2186655
C1,254522211.5,254.5222115
B1,73273331.5,73.2733315
C0,73010634.5,73.0106345
C0,72233761.5,72.2337615
C1,274427434.0,274.427434
B1,339190905.0,339.190905
C0,266776541.0,266.776541
B1,422570577.0,422.570577
B0,438872401.5,438.8724015
B1,286022027.5,286.0220275
B0,464229223.0,464.229223
C1,489179127.0,489.179127
B0,275357685.5,275.3576855
C1,521375256.0,521.375256
C1,226446633.5,226.4466335
C0,450264844.5,450.2648445
B1,77521389.5,77.5213895
C1,532523079.0,532.523079
C1,435790309.0,435.790309
C0,185852601.0,185.852601
B1,288770158.5,288.7701585
C1,535253186.0,535.253186
B0,265624970.5,265.6249705
C0,72024443.0,72.024443
B0,507954942.5,507.9549425
B0,514528948.0,514.528948
C0,83011905.0,83.011905
C0,262534725.5,262.5347255
C0,232740207.0,232.740207
B1,245112009.0,245.112009
C1,72921945.5,72.9219455
B1,264881741.0,264.881741
C1,78801390.0,78.80139
C0,80078227.5,80.0782275
C1,74466378.5,74.4663785
C1,79703312.5,79.7033125
C1,90354508.5,90.3545085
C0,444796414.0,444.796414
B0,481887043.5,481.8870435
C1,509575988.5,509.5759885
B1,85584857.0,85.584857
C0,555994607.0,555.994607
B1,288022354.0,288.022354
B1,552889355.5,552.8893555
C1,62776599.0,62.776599
C1,562760081.5,562.7600815
C0,502104978.5,502.1049785
B1,455514226.5,455.5142265
C0,300814285.0,300.814285
B0,88961214.5,88.9612145
C1,441801308.5,441.8013085
C1,264814761.5,264.8147615
B0,96132985.0,96.132985
B1,381025834.5,381.0258345
C0,256798995.0,256.798995
B0,257117976.5,257.1179765
C0,295181662.5,295.1816625
C0,274366322.0,274.366322
B1,281424537.5,281.4245375
C1,589786683.0,589.786683
C1,67404387.0,67.404387
B1,85134590.5,85.1345905
C1,99907307.5,99.9073075
C0,484885390.5,484.8853905
C0,76333173.5,76.3331735
B1,79531940.0,79.53194
C1,74686310.5,74.6863105
B0,85456436.5,85.4564365
C1,295373166.0,295.373166
B1,526619578.5,526.6195785
B1,305814338.0,305.814338
B1,59770170.5,59.7701705
C1,299891468.0,299.891468
B0,87270841.0,87.270841
B0,93415367.0,93.415367
B0,408417920.0,408.41792
B1,83396803.0,83.396803
B1,261810390.5,261.8103905
C1,488604086.5,488.6040865
C1,454541635.0,454.541635
C0,277107773.5,277.1077735
C1,59509155.0,59.509155
C1,80076319.0,80.076319
C1,334413443.5,334.4134435
C1,316809893.5,316.8098935
C0,418758391.0,418.758391
B1,524878036.0,524.878036
C0,544995929.0,544.995929
B0,282124792.5,282.1247925
B1,311189028.0,311.189028
C0,83865644.0,83.865644
B0,240996538.5,240.9965385
B0,232253726.5,232.2537265
C1,219791746.5,219.7917465
C1,288221642.0,288.221642
C0,318584053.5,318.5840535
B0,294672826.0,294.672826
B1,241390005.0,241.390005
C1,463388576.0,463.388576
B0,256524792.0,256.524792
B0,315198067.0,315.198067
B1,512754017.0,512.754017
B1,76708109.0,76.708109
B1,56977762.5,56.9777625
B1,328848385.5,328.8483855
C1,56417720.0,56.41772
B0,59234146.5,59.2341465
C0,204164520.5,204.1645205
B0,65355126.5,65.3551265
B0,54013478.0,54.013478
B1,208049666.5,208.0496665
C0,176615237.5,176.6152375
C1,359122229.0,359.122229
C0,148752451.0,148.752451
C0,52607065.0,52.607065
B0,442413791.5,442.4137915
C1,79957501.5,79.9575015
C0,77201814.5,77.2018145
B1,483543532.5,483.5435325
C1,523372157.5,523.3721575
C0,338972363.5,338.9723635
B0,75210779.5,75.2107795
C0,384234505.5,384.2345055
C1,273918111.0,273.918111
C1,287577194.5,287.5771945
C0,513051073.0,513.051073
C1,104400226.5,104.4002265
B1,74997046.5,74.9970465
B0,252673981.5,252.6739815
C0,77077897.5,77.0778975
C1,78971600.0,78.9716
C1,333507936.5,333.5079365
B1,657545766.5,657.5457665
B1,327743339.0,327.743339
B1,343963466.5,343.9634665
C0,76739030.5,76.7390305
B0,329992116.0,329.992116
C0,79889019.5,79.8890195
C0,299721565.5,299.7215655
C1,79945115.0,79.945115
B1,83223101.0,83.223101
C0,321422494.5,321.4224945
B0,80867304.5,80.8673045
B0,342439536.5,342.4395365
B0,573509832.0,573.509832
B1,323997342.0,323.997342
C0,98429365.0,98.429365
B1,296626615.0,296.626615
C1,679704746.0,679.704746
B1,320352570.0,320.35257
C1,706643349.5,706.6433495
B1,531658561.5,531.6585615
B0,416027336.5,416.0273365
C0,298720533.5,298.7205335
B1,78987755.0,78.987755
C1,102689978.0,102.689978
B0,510022499.5,510.0224995
B0,313132427.0,313.132427
B1,207930614.0,207.930614
C1,390860083.5,390.8600835
C1,447158638.5,447.1586385
C1,254929354.5,254.9293545
B1,378940134.0,378.940134
B0,219163575.5,219.1635755
B1,90741694.0,90.741694
C0,324460766.5,324.4607665
B1,623376680.5,623.3766805
C0,79865373.0,79.865373
C0,599162832.5,599.1628325
B1,288270090.0,288.27009
C0,473983881.5,473.9838815
C1,81000346.0,81.000346
C1,78332059.5,78.3320595
B1,437877661.5,437.8776615
B0,92640427.0,92.640427
B0,76227994.5,76.2279945
B1,81088430.5,81.0884305
B0,83485427.0,83.485427
B1,580245618.0,580.245618
C0,558835061.0,558.835061
C1,80828401.5,80.8284015
C1,309157443.5,309.1574435
B1,512824540.5,512.8245405
C1,250408169.0,250.408169
B0,78826994.0,78.826994
C0,292589798.5,292.5897985
B1,540923380.5,540.9233805
C0,559400736.0,559.400736
B0,462511310.0,462.51131
C1,80538408.0,80.538408
C0,88016431.5,88.0164315
C0,529527840.5,529.5278405
B1,520002257.0,520.002257
C0,617486509.0,617.486509
B0,81841827.0,81.841827
B1,76999470.0,76.99947
C0,470109544.0,470.109544
C1,308929803.5,308.9298035
C0,339928064.5,339.9280645
C1,534667007.5,534.6670075
B1,540592896.5,540.5928965
B0,232292151.0,232.292151
B0,387188615.5,387.1886155
B1,323150022.5,323.1500225
B0,80363168.0,80.363168
C0,81158509.0,81.158509
C0,255976390.5,255.9763905
B0,76333489.5,76.3334895
B0,279360291.0,279.360291
C1,526457197.0,526.457197
B0,319441022.5,319.4410225
B1,311192369.5,311.1923695
B1,66021332.0,66.021332
C1,363945444.0,363.945444
C1,506066574.0,506.066574
C0,286184358.0,286.184358
B1,349250734.0,349.250734
C1,346518490.5,346.5184905
B0,85951892.5,85.9518925
C1,565634430.5,565.6344305
B0,80088404.0,80.088404
C0,77318338.0,77.318338
B0,523419133.5,523.4191335
B1,94869944.5,94.8699445
C0,709965123.0,709.965123
B1,312776709.5,312.7767095
C1,87524811.0,87.524811
C0,304445373.0,304.445373
C0,81511761.5,81.5117615
B1,83797099.0,83.797099
B1,305303187.0,305.303187
B0,200724508.0,200.724508
B0,64655962.5,64.6559625
B1,314838637.0,314.838637
B1,278028812.5,278.0288125
C1,79726307.5,79.7263075
C1,58072528.0,58.072528
B0,381545762.0,381.545762
C0,555928226.5,555.9282265
B0,423623884.0,423.623884
B1,541925358.5,541.9253585
C0,62966509.5,62.9665095
C1,59021302.5,59.0213025
C0,204363191.5,204.3631915
C0,55834953.0,55.834953
B1,406190439.5,406.1904395
C0,55968789.5,55.9687895
C1,58569202.0,58.569202
C1,403054581.0,403.054581
C1,280791751.5,280.7917515
B0,272927579.5,272.9275795
B1,68728036.0,68.728036
C0,210042363.5,210.0423635
B0,59229945.0,59.229945
C0,54072734.0,54.072734
C0,445734634.0,445.734634
C0,463376556.5,463.3765565
C1,54580974.5,54.5809745
B0,400339770.5,400.3397705
B0,293406564.0,293.406564
C0,195028518.0,195.028518
C0,335745244.0,335.745244
B1,268713632.5,268.7136325
C0,84068769.5,84.0687695
C1,192095743.5,192.0957435
C1,180163170.5,180.1631705
C0,60538992.5,60.5389925
C0,497706788.0,497.706788
C0,317269790.5,317.2697905
B0,565259499.0,565.259499
B0,73297955.0,73.297955
B1,383018698.0,383.018698
B0,73527157.5,73.5271575
C0,60385515.5,60.3855155
B0,229222183.5,229.2221835
B0,225136408.5,225.1364085
B1,404773766.5,404.7737665
B0,208973441.0,208.973441
C0,391874143.0,391.874143
C1,64016124.5,64.0161245
C1,248703074.5,248.7030745
B0,240418724.0,240.418724
C1,66906283.0,66.906283
C0,241093554.5,241.0935545
B1,401750921.5,401.7509215
C0,216733475.5,216.7334755
C0,56474871.5,56.4748715
B1,180149050.0,180.14905
C1,232153249.0,232.153249
B1,478498626.5,478.4986265
C0,521821740.0,521.82174
