comparison,paired_runs,mean_difference_ns,median_difference_ns,mean_relative_percent,ci95_mean_low_ns,ci95_mean_high_ns,robust_effect,improved_fraction,degraded_fraction,no_material_change_fraction,engineering_threshold_ns,mean_difference_ms,median_difference_ms,ci95_mean_low_ms,ci95_mean_high_ms
B1-B0,2430,1688064.5685185185,389975.25,1.908729403352008,-220276.8718364197,3539259.5389660485,0.0179307986039528,0.437037037037037,0.4732510288065844,0.0897119341563786,1000000.0,1.6880645685185185,0.38997525,-0.22027687183641972,3.5392595389660486
C1-C0,2430,1418850.2405349794,176232.5,1.888806495619812,-410421.1066306584,3258436.44593107,0.0076201610214179,0.4432098765432098,0.4670781893004115,0.0897119341563786,1000000.0,1.4188502405349794,0.1762325,-0.4104211066306584,3.25843644593107
C0-B0,2430,1315339.1277777778,256789.25,1.8564108578009613,-567537.9547016459,3176929.059696501,0.0118997321771802,0.4395061728395061,0.4662551440329218,0.094238683127572,1000000.0,1.315339127777778,0.25678925,-0.5675379547016459,3.176929059696501
C1-B1,2430,1046124.7997942386,408443.0,1.8225285379452056,-716749.8877417695,2885945.427371398,0.0194670386704221,0.4411522633744856,0.4736625514403292,0.0851851851851851,1000000.0,1.0461247997942387,0.408443,-0.7167498877417695,2.8859454273713983
