factor,method,level,runs,median_end_to_end_ns,median_match_ns,median_chain_read_ns,median_throughput_rps,median_cache_hit_rate
locality,B1,INTERVAL_HOTSPOT,810,198043495.75,69899.25,195145097.25,17.955238097257876,0.75
locality,B1,NODE_HOTSPOT,810,196936302.25,73797.25,194535676.5,17.876134751710776,0.75
locality,B1,UNIFORM,810,195230589.75,71454.75,192474638.0,17.88936802092785,0.125
locality,C1,INTERVAL_HOTSPOT,810,198643155.25,93634.75,195890553.25,17.707736280116585,0.625
locality,C1,NODE_HOTSPOT,810,200215692.5,92347.25,197727414.5,17.8450564330519,0.75
locality,C1,UNIFORM,810,198179949.75,93609.75,195426868.0,17.780870394780464,0.125
